Date de la commande,Numéro de la commande,Groupe de comptes,Numéro de commande,Quantité de la commande,Devise,Sous-total de la commande,Traitement et expédition de la commande,Promotion sur la commande,Taxe sur la commande,Total net de la commande,État de la commande,Approbateur,État de réception de la commande,Quantité de commandes reçues,Utilisateur du compte,E-mail de l'utilisateur du compte,Pays/Région du numéro de TVA de l'utilisateur du compte,Numéro d'enregistrement à la TVA de l'utilisateur du compte,Date d'expédition,État de l'expédition,Statut de livraison,Date de livraison prévue,Numéro de suivi du transporteur,Quantité expédiée,Adresse d'expédition,Sous-total de l'expédition,Traitement et envoi de l'expédition,Promotion sur l'expédition,Taxe d'expédition,Total net de l'expédition,Pays/Région d'expédition,Sous-total de l'expédition,Nom du transporteur,Numéro de la facture de TVA,Emballage cadeau de l'expédition,Catégorie de produit interne à Amazon,ASIN,Titre,UNSPSC,Segment,FAMILLE,CLASSE,PRODUIT,Code de la marque,Marque,Fabricant,Numéro de stock national,Numéro de modèle de l’article,Référence,État du produit,Conformité de l'entreprise,PPU répertorié,PPU d'achat,Quantité d'articles,Sous-total de l'article,Traitement et expédition de l'article,Promotion sur l'article,Taxe sur l'article,Total net de l'article,Numéro de la ligne de commande,Programme de remise,Remise sur le prix appliquée (€ de réduction),Remise sur le prix appliquée (% de réduction),Taux de TVA sur le sous-total de l'article,Emballage cadeau de l'article,Sous-total de l'article,Statut de réception ,Quantité reçue,Date de réception,Nom du destinataire,E-mail du destinataire,Code GL,Service,Centre de coût,Code du projet,Emplacement,Champ personnalisé 1,Nom du vendeur,Identifiants du vendeur,Pays d'enregistrement à la TVA du vendeur,Numéro d'enregistrement à la TVA du vendeur
23/03/2023,402-9434272-1457118,M.S. Garuda Technologies Ltd.,CA-10012090-2,1,EUR,"67,05","17,54","0,00","0,00","84,59",En attente,,,,Mehdi Mask,mask.mehdi@gmail.com,,,23/03/2023,Expédié,Sans objet,20/04/2023,EPG010909920385949,1,"CA-10012090-2 FZ ZEMMOURI, 7 Rue du Meunier, GL-NET GARUDA, Roissy en France, 95700, FR","67,05","17,54","","0,00","84,59",,"84,59",ePost Global,DOC-122752741-2023-56,,Book,B00OVBNNOY,Hallucinations et délire: les formes hallucinatoires de l'automatisme verbal.,="55101500",Produits publiés,Imprimés,Publications imprimées,Publications imprimées,,,Paris: Librairie Felix Alcan,,,,D'occasion - Bon,Restreint,"67,05","67,05",1,"67,05","17,54","","0,00","84,59",,,,,0%,"","84,59",,,N/A,,,,,,,GLNET,,"John T. Zubal, Inc.",,,
23/03/2023,408-4699740-5679527,M.S. Garuda Technologies Ltd.,CA-10012090,1,EUR,"30,79","0,00","0,00","0,00","30,79",En attente,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,23/03/2023,Expédié,Sans objet,28/03/2023,6G57947491644,1,"(CA-10012090-1)Fatim Zohra Zemmouri Tazi, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","30,79","0,00","","0,00","30,79",PL,"30,79",La Poste,,,Health and Beauty,B00ESKVN7W,"Squatty Potty The Original Bain Toilettes Tabouret, 7-Pouce Hauteur, Blanc",="56101800",Meubles et ameublements,Mobilier de maison,Meubles et accessoires pour bébés et jeunes enfants,Meubles et accessoires pour bébés et jeunes enfants,SQV7S,Squatty Potty,"Squatty Potty, LLC",,sp-e-7,="081676659",Neuf,Restreint,"30,79","30,79",1,"30,79","0,00","","0,00","30,79",="29917",,,,0%,"","30,79",,,N/A,,,,,,,,,VARENTO UG haftungsbeschränkt,,PL,PL5263207675
22/03/2023,408-1657810-5960342,M.S. Garuda Technologies Ltd.,CA-10012087,1,EUR,"10,82","0,00","0,00","0,00","10,82",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,22/03/2023,Expédié,Livré,23/03/2023,="534000021219314907",1,"(CA-10012087-1)Mona Ouafi, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","10,82","0,00","","0,00","10,82",,"10,82",PAACK,FR3158OABEY,,Kitchen,B07L846PZK,"Tefal 6 pots en verre 140 ml, Compatibles avec les yaourtières Délices et Multi Délices, Couvercle hermétique en plastique rouge, Yaourts, Flans m",="52150000","Mobilier, équipements domestiques, appareils ménager et électronique",Vaisselle et fournitures de cuisine,Vaisselle et fournitures de cuisine,Vaisselle et fournitures de cuisine,SEC9T,SEB,Seb,,XF100501,xf100501,Neuf,,"14,58","10,82",1,"10,82","0,00","","0,00","10,82",="29914",,,,0%,"","10,82",,,N/A,,,,,,,,,Amazon Business EU SARL,,FR,FR78843272238
22/03/2023,171-0567472-5490736,Purchasing,CA-10012086-2,2,EUR,"67,96","0,00","0,00","0,00","67,96",Fermé,,,,Clickapporter,purchasing@clickapporter.com,,,23/03/2023,Expédié,Livré,23/03/2023,="534000021219307726",2,"CA-10012086-2 Marrakchi rajae, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), Pantin, 93500, FR","67,96","0,00","","0,00","67,96",FR,"67,96",PAACK,,,Lighting,B072V18WPG,Lot de 6 clips monture Doooitlight de bougie pour lustre en cristal,="39111800",Systèmes électriques et éclairage et composants et accessoires et fournitures,"Éclairages, fixations et accessoires",Accessoires pour l'éclairage,Accessoires pour l'éclairage,,Doooitlight,,,LS-016,LS-016,Neuf,Restreint,"33,98","33,98",2,"67,96","0,00","","0,00","67,96",,,,,0%,"","67,96",,,N/A,,,,,,,,,yucca lighting trading limited,,,
22/03/2023,408-3381412-5691550,M.S. Garuda Technologies Ltd.,CA-10012086,4,EUR,"151,56","0,00","0,00","0,00","151,56",Fermé,,,,Clickapporter,purchasing@clickapporter.com,,,23/03/2023,Expédié,Livré,23/03/2023,="534000021219307664",4,"(CA-10012086-1)Rajae Marrakchi, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","151,56","0,00","","0,00","151,56",FR,"151,56",PAACK,,,Home Improvement,B08NW673BV,"HERCHR 6 Pièces Abat-Jour pour Lampes de Table Lampe, Remplacement Abat Jour en Lin Petits Abat Jour avec Clip pour Table de Chevet, Applique Murale ",="39111800",Systèmes électriques et éclairage et composants et accessoires et fournitures,"Éclairages, fixations et accessoires",Accessoires pour l'éclairage,Accessoires pour l'éclairage,,HERCHR,HERCHR,,HERCHRuc6v7tryoh,HERCHRuc6v7tryoh,Neuf,Restreint,"37,89","37,89",4,"151,56","0,00","","0,00","151,56",="29911",,,,0%,"","151,56",,,N/A,,,,,,,,,Wu Han Hui Mei You Le E-Commerce Co. Ltd,,,
22/03/2023,408-2971693-7805166,M.S. Garuda Technologies Ltd.,CA-10012086,2,EUR,"56,98","0,00","0,00","0,00","56,98",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,22/03/2023,Expédié,Livré,23/03/2023,6G58077316395,2,"(CA-10012086-3)Rajae Marrakchi, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","56,98","0,00","","0,00","56,98",FR,"56,98",La Poste,INV-FR-1250561015-2023-205,,Kitchen,B08RRS52PV,"HERCHR Abats-Jour de Lampe en Tissu Blanc, Lot de 6 Clips Monture de Bougie pour Lustre en Cristal, Bougeoir Lampe de Chevet, 9x14x13cm",="39111500",Systèmes électriques et éclairage et composants et accessoires et fournitures,"Éclairages, fixations et accessoires",Éclairages intérieurs et accessoires,Éclairages intérieurs et accessoires,,HERCHR,HERCHR,,HERCHRrfbd5n2hvy,HERCHRrfbd5n2hvy,Neuf,Restreint,"28,49","28,49",2,"56,98","0,00","","0,00","56,98",="29913",,,,0%,"","56,98",,,N/A,,,,,,,,,Wuhan zhiye shidai xinxijishu youxian gongsi,,FR,FR12899922447
21/03/2023,405-4041896-6085130,Smart Skills Engineering End Consulting,CA-10012085-1,10,EUR,"791,60","0,00","0,00","0,00","791,60",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,22/03/2023,Expédié,Livré,23/03/2023,FR2130062484,10,"CA-10012085-1 Smart Skills Engineering, 7 Rue du Meunier, GL-NET GARUDA, Roissy en France, 95700, FR","791,60","0,00","","0,00","791,60",,"791,60",Amazon Logistics,FR3152GABEY,,Amazon Ereaders,B09SWV9SMH,"Kindle (modèle 2022) | Le Kindle le plus léger et compact à ce jour | Écran haute résolution 6"" 300 ppp et deux fois plus de stockage | Avec publ",="43211500","Composants, fournitures et équipements informatiques et de communication",Accessoires et équipement informatiques,Ordinateurs,Ordinateurs,AMC94,Amazon,Amazon,,C2V2L3,53-030439,Neuf,,"375,00","79,16",10,"791,60","0,00","","0,00","791,60",,,,,0%,"","791,60",,,N/A,,,,,,,,,Amazon Business EU SARL,,FR,FR78843272238
21/03/2023,405-9150038-0682709,Purchasing,CA-10012082-1,1,EUR,"148,87","0,00","0,00","0,00","148,87",En attente,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Sans objet,24/03/2023,="51420210701895700",1,"CA-10012082-1 Med Bouazzaoui, 7 Rue du Meunier, GL-NET GARUDA, Roissy en France, 95700, FR","148,87","0,00","","0,00","148,87",DE,"148,87",Colis Privé,DE31KBMC5AEUI,,Home,B08TRNBGNJ,KRATKI Cheminée d'angle Delta | Cheminée Bio 900 x 280 mm | Cheminée Murale avec vitrage 4 mm | Idéal pour Les intérieurs Ouverts et Modernes | C,="40102100","Équipements, composants et systèmes de conditionnement et de distribution de fluides et de gaz","Chauffage, ventilation et circulation d'air",Cheminées et accessoires,Cheminées et accessoires,KRBAK,KRATKI,KRATKI,,DELTA/P/900/TUV/PRZESZKLENIE,DELTA/P/900/TUV/PRZESZKLENIE,D'occasion - Acceptable,Restreint,"148,87","148,87",1,"148,87","0,00","","0,00","148,87",,,,,0%,"","148,87",,,N/A,,,,,,,,,Amazon EU S.a.r.L.,,DE,DE814584193
21/03/2023,405-1273811-7469948,NGS,CA-10012083-1,1,EUR,"444,43","15,43","0,00","0,00","459,86",En attente,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Sans objet,30/03/2023,,1,"CA-10012083-1 NGS, 7 Rue du Meunier, GL-NET / Garuda, Roissy En France, 95700, FR","444,43","15,43","","0,00","459,86",,"459,86",UPS,INV-PT-1449249575-2023-2395,,Personal Computer,B0843892J9,Mikrotik CCR1009-7G-1C-1S+ Routeur connecté Blanc,="43220000","Composants, fournitures et équipements informatiques et de communication",Data Voice ou équipement multimédia pour réseaux ou plate-formes et accessoires,Data Voice ou équipement multimédia pour réseaux ou plate-formes et accessoires,Data Voice ou équipement multimédia pour réseaux ou plate-formes et accessoires,MIKX7,MikroTik,Mikrotik,,CCR1009-7G-1C-1S+,CCR1009-7G-1C-1S+,Neuf,Restreint,"444,43","444,43",1,"444,43","15,43","","0,00","459,86",,,,,0%,"","459,86",,,N/A,,,,,,,,,Fun Display Lda,,PT,PT507654595
21/03/2023,408-1098631-4341934,M.S. Garuda Technologies Ltd.,CA-10012084,1,EUR,"17,41","0,00","0,00","3,48","20,89",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,21/03/2023,Expédié,Livré,22/03/2023,="534000021219304031",1,"(CA-10012084-2)Anass El Khiati, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","17,41","0,00","","3,48","20,89",FR,"17,41",PAACK,INV-FR-2134228255-2023-7153,,Beauty,B08M95LXGS,"Ponceuse pour Ongles,WEIYI Lime a Ongle Electrique Professionnel Ongles Manucure Machine avec USB 20000RPM, Noël Portable Kit de Manucure Pedicure Sa",="53131600","Habillement, bagages et produits d'hygiène personnelle",Produits pour l'hygiène personnelle,Produits de bains et d'hygiène du corps,Produits de bains et d'hygiène du corps,,WEIYI,Dong guan shi mei ting ou dian qi you xian gong si,,MTO-5001,MTO-5001,Neuf,Restreint,"17,41","17,41",1,"17,41","0,00","","3,48","20,89",="29909",,,,20%,"","17,41",,,N/A,,,,,,,,,QIYUN ELECTRONIC TECHNOLOGY CO. LTD,,FR,FR25909823791
